Data	Ano	Número do Mês	Mês	MMM-YYYY	Número do dia da semana	Dia da Semana	Semana	FY	Semana FY
01/06/2021 00:00:00	2021	6	junho	jun-2021	3	terça-feira	23	2022	1
02/06/2021 00:00:00	2021	6	junho	jun-2021	4	quarta-feira	23	2022	1
03/06/2021 00:00:00	2021	6	junho	jun-2021	5	quinta-feira	23	2022	1
04/06/2021 00:00:00	2021	6	junho	jun-2021	6	sexta-feira	23	2022	1
05/06/2021 00:00:00	2021	6	junho	jun-2021	7	sábado	23	2022	1
06/06/2021 00:00:00	2021	6	junho	jun-2021	1	domingo	24	2022	2
07/06/2021 00:00:00	2021	6	junho	jun-2021	2	segunda-feira	24	2022	2
08/06/2021 00:00:00	2021	6	junho	jun-2021	3	terça-feira	24	2022	2
09/06/2021 00:00:00	2021	6	junho	jun-2021	4	quarta-feira	24	2022	2
10/06/2021 00:00:00	2021	6	junho	jun-2021	5	quinta-feira	24	2022	2
11/06/2021 00:00:00	2021	6	junho	jun-2021	6	sexta-feira	24	2022	2
12/06/2021 00:00:00	2021	6	junho	jun-2021	7	sábado	24	2022	2
13/06/2021 00:00:00	2021	6	junho	jun-2021	1	domingo	25	2022	3
14/06/2021 00:00:00	2021	6	junho	jun-2021	2	segunda-feira	25	2022	3
15/06/2021 00:00:00	2021	6	junho	jun-2021	3	terça-feira	25	2022	3
16/06/2021 00:00:00	2021	6	junho	jun-2021	4	quarta-feira	25	2022	3
17/06/2021 00:00:00	2021	6	junho	jun-2021	5	quinta-feira	25	2022	3
18/06/2021 00:00:00	2021	6	junho	jun-2021	6	sexta-feira	25	2022	3
19/06/2021 00:00:00	2021	6	junho	jun-2021	7	sábado	25	2022	3
20/06/2021 00:00:00	2021	6	junho	jun-2021	1	domingo	26	2022	4
21/06/2021 00:00:00	2021	6	junho	jun-2021	2	segunda-feira	26	2022	4
22/06/2021 00:00:00	2021	6	junho	jun-2021	3	terça-feira	26	2022	4
23/06/2021 00:00:00	2021	6	junho	jun-2021	4	quarta-feira	26	2022	4
