"Subs. Service Line No.","Compute Type","Active","Usage Line Number","Metered service date","Sub Account","Computed Quantity","Existing Entitled Qty","Usage Quantity","UOM","Product","Parent Product","Net Unit Price","SPM Document Number","Line Net Amount","Bill To Plan Number","Consumed Quantity","Overage","Compute Source","Status","Available Amt After Computing","Is Credit Memo?","Spm Partner Credit Amt","Bill to Customer","Trxn Extension ID","Line Net Amount Increased Precision","UCM Payment Credit Amt"
"3.018","Funded Allocation Usage","true",,"10-29-2021","",0.0037,0,0.0037,"GB LOG STG PR MO","B92593 - Oracle Cloud Infrastructure - Logging - Storage - Gigabyte Log Storage Per Month","B88206 - Oracle PaaS and IaaS Universal Credits",0.0000000,"11264571 - 11-01-2021 - 650.83",0.00000,"",2.0412,"true","","Invoiced | Skipped by SPM",3342217.79006,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,0.00000,
"3.018","Funded Allocation Usage","true",,"10-07-2021","",0.0026,0,0.0026,"GB LOG STG PR MO","B92593 - Oracle Cloud Infrastructure - Logging - Storage - Gigabyte Log Storage Per Month","B88206 - Oracle PaaS and IaaS Universal Credits",0.0000000,"11264571 - 11-01-2021 - 650.83",0.00000,"",0.3643,"true","","Invoiced | Skipped by SPM",3382202.39724,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,0.00000,
"3.018","Funded Allocation Usage","true",,"10-15-2021","",0.00302,0,0.00302,"GB LOG STG PR MO","B92593 - Oracle Cloud Infrastructure - Logging - Storage - Gigabyte Log Storage Per Month","B88206 - Oracle PaaS and IaaS Universal Credits",0.0000000,"11264571 - 11-01-2021 - 650.83",0.00000,"",0.89823,"true","","Invoiced | Skipped by SPM",3369544.74957,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,0.00000,
"3.018","Funded Allocation Usage","true",,"10-02-2021","",0.00244,0,0.00244,"GB LOG STG PR MO","B92593 - Oracle Cloud Infrastructure - Logging - Storage - Gigabyte Log Storage Per Month","B88206 - Oracle PaaS and IaaS Universal Credits",0.0000000,"11264571 - 11-01-2021 - 650.83",0.00000,"",0.10289,"true","","Invoiced | Skipped by SPM",3389080.70064,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,0.00000,
"3.018","Funded Allocation Usage","true",,"10-30-2021","",0.00376,0,0.00376,"GB LOG STG PR MO","B92593 - Oracle Cloud Infrastructure - Logging - Storage - Gigabyte Log Storage Per Month","B88206 - Oracle PaaS and IaaS Universal Credits",0.0000000,"11264571 - 11-01-2021 - 650.83",0.00000,"",2.16417,"true","","Invoiced | Skipped by SPM",3339216.85457,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,0.00000,
"3.018","Funded Allocation Usage","true",,"10-30-2021","",0.00375,0,0.00375,"GB LOG STG PR MO","B92593 - Oracle Cloud Infrastructure - Logging - Storage - Gigabyte Log Storage Per Month","B88206 - Oracle PaaS and IaaS Universal Credits",0.0000000,"11264571 - 11-01-2021 - 650.83",0.00000,"",2.15666,"true","","Invoiced | Skipped by SPM",3339435.36719,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,0.00000,
"3.018","Funded Allocation Usage","true",,"10-08-2021","",0.00266,0,0.00266,"GB LOG STG PR MO","B92593 - Oracle Cloud Infrastructure - Logging - Storage - Gigabyte Log Storage Per Month","B88206 - Oracle PaaS and IaaS Universal Credits",0.0000000,"11264571 - 11-01-2021 - 650.83",0.00000,"",0.44034,"true","","Invoiced | Skipped by SPM",3380270.32683,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,0.00000,
"3.018","Funded Allocation Usage","true",,"10-28-2021","",0.00369,0,0.00369,"GB LOG STG PR MO","B92593 - Oracle Cloud Infrastructure - Logging - Storage - Gigabyte Log Storage Per Month","B88206 - Oracle PaaS and IaaS Universal Credits",0.0000000,"11264571 - 11-01-2021 - 650.83",0.00000,"",2.00791,"true","","Invoiced | Skipped by SPM",3343141.61460,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,0.00000,
"3.018","Funded Allocation Usage","true",,"10-31-2021","",0.00379,0,0.00379,"GB LOG STG PR MO","B92593 - Oracle Cloud Infrastructure - Logging - Storage - Gigabyte Log Storage Per Month","B88206 - Oracle PaaS and IaaS Universal Credits",0.0000000,"11264571 - 11-01-2021 - 650.83",0.00000,"",2.25482,"true","","Invoiced | Skipped by SPM",3337263.56178,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,0.00000,
"3.018","Funded Allocation Usage","true",,"10-12-2021","",0.00289,0,0.00289,"GB LOG STG PR MO","B92593 - Oracle Cloud Infrastructure - Logging - Storage - Gigabyte Log Storage Per Month","B88206 - Oracle PaaS and IaaS Universal Credits",0.0000000,"11264571 - 11-01-2021 - 650.83",0.00000,"",0.7146,"true","","Invoiced | Skipped by SPM",3373659.52041,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,0.00000,
"3.018","Funded Allocation Usage","true",,"10-10-2021","",0.00278,0,0.00278,"GB LOG STG PR MO","B92593 - Oracle Cloud Infrastructure - Logging - Storage - Gigabyte Log Storage Per Month","B88206 - Oracle PaaS and IaaS Universal Credits",0.0000000,"11264571 - 11-01-2021 - 650.83",0.00000,"",0.59292,"true","","Invoiced | Skipped by SPM",3376467.47563,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,0.00000,
"3.018","Funded Allocation Usage","true",,"10-28-2021","",0.0037,0,0.0037,"GB LOG STG PR MO","B92593 - Oracle Cloud Infrastructure - Logging - Storage - Gigabyte Log Storage Per Month","B88206 - Oracle PaaS and IaaS Universal Credits",0.0000000,"11264571 - 11-01-2021 - 650.83",0.00000,"",2.02639,"true","","Invoiced | Skipped by SPM",3342638.41457,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,0.00000,
"3.018","Funded Allocation Usage","true",,"10-12-2021","",0.00288,0,0.00288,"GB LOG STG PR MO","B92593 - Oracle Cloud Infrastructure - Logging - Storage - Gigabyte Log Storage Per Month","B88206 - Oracle PaaS and IaaS Universal Credits",0.0000000,"11264571 - 11-01-2021 - 650.83",0.00000,"",0.70883,"true","","Invoiced | Skipped by SPM",3373802.09564,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,0.00000,
"3.018","Funded Allocation Usage","true",,"10-03-2021","",0.00247,0,0.00247,"GB LOG STG PR MO","B92593 - Oracle Cloud Infrastructure - Logging - Storage - Gigabyte Log Storage Per Month","B88206 - Oracle PaaS and IaaS Universal Credits",0.0000000,"11264571 - 11-01-2021 - 650.83",0.00000,"",0.15691,"true","","Invoiced | Skipped by SPM",3387667.96807,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,0.00000,
"3.018","Funded Allocation Usage","true",,"10-08-2021","",0.00269,0,0.00269,"GB LOG STG PR MO","B92593 - Oracle Cloud Infrastructure - Logging - Storage - Gigabyte Log Storage Per Month","B88206 - Oracle PaaS and IaaS Universal Credits",0.0000000,"11264571 - 11-01-2021 - 650.83",0.00000,"",0.46982,"true","","Invoiced | Skipped by SPM",3379476.26705,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,0.00000,
"3.018","Funded Allocation Usage","true",,"10-10-2021","",0.00279,0,0.00279,"GB LOG STG PR MO","B92593 - Oracle Cloud Infrastructure - Logging - Storage - Gigabyte Log Storage Per Month","B88206 - Oracle PaaS and IaaS Universal Credits",0.0000000,"11264571 - 11-01-2021 - 650.83",0.00000,"",0.60683,"true","","Invoiced | Skipped by SPM",3376133.77638,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,0.00000,
"3.018","Funded Allocation Usage","true",,"10-04-2021","",0.00249,0,0.00249,"GB LOG STG PR MO","B92593 - Oracle Cloud Infrastructure - Logging - Storage - Gigabyte Log Storage Per Month","B88206 - Oracle PaaS and IaaS Universal Credits",0.0000000,"11264571 - 11-01-2021 - 650.83",0.00000,"",0.20647,"true","","Invoiced | Skipped by SPM",3386285.86100,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,0.00000,
"3.018","Funded Allocation Usage","true",,"10-19-2021","",0.0032,0,0.0032,"GB LOG STG PR MO","B92593 - Oracle Cloud Infrastructure - Logging - Storage - Gigabyte Log Storage Per Month","B88206 - Oracle PaaS and IaaS Universal Credits",0.0000000,"11264571 - 11-01-2021 - 650.83",0.00000,"",1.25652,"true","","Invoiced | Skipped by SPM",3361886.66486,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,0.00000,
"3.018","Funded Allocation Usage","true",,"10-29-2021","",0.0037,0,0.0037,"GB LOG STG PR MO","B92593 - Oracle Cloud Infrastructure - Logging - Storage - Gigabyte Log Storage Per Month","B88206 - Oracle PaaS and IaaS Universal Credits",0.0000000,"11264571 - 11-01-2021 - 650.83",0.00000,"",2.0449,"true","","Invoiced | Skipped by SPM",3342113.44192,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,0.00000,
"3.018","Funded Allocation Usage","true",,"10-19-2021","",0.00318,0,0.00318,"GB LOG STG PR MO","B92593 - Oracle Cloud Infrastructure - Logging - Storage - Gigabyte Log Storage Per Month","B88206 - Oracle PaaS and IaaS Universal Credits",0.0000000,"11264571 - 11-01-2021 - 650.83",0.00000,"",1.21828,"true","","Invoiced | Skipped by SPM",3362683.80284,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,0.00000,
"3.018","Funded Allocation Usage","true",,"10-28-2021","",0.00367,0,0.00367,"GB LOG STG PR MO","B92593 - Oracle Cloud Infrastructure - Logging - Storage - Gigabyte Log Storage Per Month","B88206 - Oracle PaaS and IaaS Universal Credits",0.0000000,"11264571 - 11-01-2021 - 650.83",0.00000,"",1.94904,"true","","Invoiced | Skipped by SPM",3344377.77840,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,0.00000,
"3.018","Funded Allocation Usage","true",,"10-18-2021","",0.00316,0,0.00316,"GB LOG STG PR MO","B92593 - Oracle Cloud Infrastructure - Logging - Storage - Gigabyte Log Storage Per Month","B88206 - Oracle PaaS and IaaS Universal Credits",0.0000000,"11264571 - 11-01-2021 - 650.83",0.00000,"",1.16444,"true","","Invoiced | Skipped by SPM",3363816.63486,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,0.00000,
"3.018","Funded Allocation Usage","true",,"10-28-2021","",0.00368,0,0.00368,"GB LOG STG PR MO","B92593 - Oracle Cloud Infrastructure - Logging - Storage - Gigabyte Log Storage Per Month","B88206 - Oracle PaaS and IaaS Universal Credits",0.0000000,"11264571 - 11-01-2021 - 650.83",0.00000,"",1.97477,"true","","Invoiced | Skipped by SPM",3343789.91016,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,0.00000,
"3.018","Funded Allocation Usage","true",,"10-18-2021","",0.00316,0,0.00316,"GB LOG STG PR MO","B92593 - Oracle Cloud Infrastructure - Logging - Storage - Gigabyte Log Storage Per Month","B88206 - Oracle PaaS and IaaS Universal Credits",0.0000000,"11264571 - 11-01-2021 - 650.83",0.00000,"",1.18025,"true","","Invoiced | Skipped by SPM",3363421.00409,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,0.00000,
"3.018","Funded Allocation Usage","true",,"10-16-2021","",0.00308,0,0.00308,"GB LOG STG PR MO","B92593 - Oracle Cloud Infrastructure - Logging - Storage - Gigabyte Log Storage Per Month","B88206 - Oracle PaaS and IaaS Universal Credits",0.0000000,"11264571 - 11-01-2021 - 650.83",0.00000,"",1.01082,"true","","Invoiced | Skipped by SPM",3367014.74309,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,0.00000,
"3.018","Funded Allocation Usage","true",,"10-19-2021","",0.00318,0,0.00318,"GB LOG STG PR MO","B92593 - Oracle Cloud Infrastructure - Logging - Storage - Gigabyte Log Storage Per Month","B88206 - Oracle PaaS and IaaS Universal Credits",0.0000000,"11264571 - 11-01-2021 - 650.83",0.00000,"",1.22782,"true","","Invoiced | Skipped by SPM",3362477.56129,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,0.00000,
